번호,카테고리,질문,답변
533,주소 검색,주소가 검색되지 않아요.,"본인의 주소가 검색되지 않는다면 다음의 사항을 확인해 주세요. 
 ① 주소 입력 시 오타가 있는지 또는 띄어쓰기를 정확히 입력했는지 확인해 주세요.
② 고객님께서 입력한 주소가 [행정부 도로명주소 웹사이트]에서 검색되는지 확인한 후 등록된 주소를 사용해 주세요.
③ 고객님의 주소가 행정부에 등록되어 있지 않다면 관할 행정구역 및 [주소 도움센터]에 등록을 요청해 주세요."
534,쿠페이,휴대폰 번호로 된 평생계좌는 사용할 수 없나요?,"네, 휴대폰 번호를 기반으로 한 평생계좌는 사용할 수 없습니다. CMA, 증권, 펀드, 적금 계좌, 본인 명의가 아닌 계좌 등도 사용할 수 없습니다. 본인 명의의 일반 은행 계좌를 사용해 주시기 바랍니다."
535,쿠페이 계좌이체,계좌 인증은 어떻게 하나요?,"계좌 인증은 다음의 방법으로 진행됩니다. 
 쿠페이 계좌 인증 절차
① 등록할 은행과 계좌번호 입력
② 필수 약관 확인 후 동의하기
③ 본인 계좌로 입금된 1원의 입금자명 확인하여 입력하기
④ ARS 인증 완료하기
※ 쿠페이 계좌가 정상적으로 등록되면 안내 알림을 수신할 수 있습니다."
536,쿠페이,법인 계좌도 등록이 가능한가요?,아니요. 쿠페이에는 법인 계좌를 사용할 수 없습니다. 본인 명의의 개인 계좌를 등록하여 사용해 주시기 바랍니다.
537,쿠페이 계좌이체,등록된 은행계좌를 삭제하고 싶어요.,쿠페이에 등록한 계좌 삭제는 [마이쿠팡 → 결제수단] 메뉴에 등록된 계좌를 선택하고 [삭제] 버튼을 누르면 됩니다.
538,쿠페이,결제 시 별도 수수료가 발생하나요?,"쿠페이 결제 자체에는 별도 수수료가 발생하지 않습니다. 
 단, 일부 결제수단의 경우 카드사/금융사 정책에 따라 결제 시 수수료가 발생할 수 있습니다. (예 : 해외카드 결제 시, 해외 결제 수수료 발생 등) 자세한 문의는 각 카드사 및 금융사로 문의해 주시기 바랍니다."
539,로켓직구,주문자와 받는 사람이 다르면 누구의 개인통관고유부호를 입력해야 하나요?,"상품을 주문한 사람(구매한 사람)과 받는 사람이 다르면, 개인통관고유부호는 ‘받는 사람(수취인)’의 정보로 입력해야 합니다.
 이 정보를 정확하게 입력하지 않으면 본인 인증 불가로 통관이 불가합니다. 이 경우 관세사무소에 받는 사람(수취인)의 이름, 개인정보(개인통관고유부호, 주민등록번호, 여권번호 중 택 1), 휴대폰 번호를 제출하고 본인 인증을 완료하여야 통관을 진행할 수 있습니다."
540,로켓직구,로켓직구는 어떻게 이용하나요?,"로켓직구는 해외 판매자가 쿠팡에 입점하여 해외에서 고객님께 직접 상품을 발송하는 서비스입니다. 로켓직구 주문 시에는 통관을 위해 받는 사람(수취인)의 개인통관고유부호와 같은 개인식별정보 입력이 필요합니다.
 구매 시 29,800원 이상을 장바구니에 담아 한 번에 주문하면 무료배송이고, 29,800원 미만이면 2,500원의 배송비가 부과됩니다. 와우 멤버십 회원은 구매 금액에 상관없이 무료배송입니다. (단, 모바일 웹 구매 시 제외)"
541,로켓직구,관세 부과 기준은 무엇인가요?,"세관 통관 시 동일한 해외 공급자로부터 동일한 시기에 입항한 '해외 상품의 총 구매금액'이 150달러($)를 초과하는 경우 관부가세가 부과됩니다.
 농수산식품 등의 경우
• 총 구매 금액이 150달러($) 이하여도 자가소비 기준 제한 kg 조건을 넘길 경우 폐기됩니다.
• 예시 ① : 쌀, 오트밀, 밀가루, 꿀, 스팸과 같은 농수산식품의 경우 5kg까지 통관 가능
• 예시 ② : 잣은 1kg까지 통관 가능
 ※ 관세와 부가세를 합쳐서 관부가세라고 합니다.
※ 자세한 기준은 관세청 홈페이지에서 확인해 주시기 바랍니다."
542,휴대폰결제 소액결제,알뜰폰은 휴대폰 소액 결제를 사용할 수 있나요?,"알뜰폰 사업자 중 KCT와 헬로모바일은 휴대폰 결제 페이지의 이동통신사 선택란에서 각 통신사를 선택하여 결제를 할 수 있습니다. 그 외 알뜰폰 사업자는 쿠팡 소액결제 지원 여부가 상이하므로, 결제 서비스 이용에 대한 자세한 문의는 사용하는 이동통신사 고객센터로 문의해 주시기 바랍니다."
543,결제수단,인터넷안전결제(ISP) 서비스란 무엇인가요?,"인터넷안전결제(ISP)란 카드 결제 시 카드번호를 직접 입력하지 않고 카드사에서 발급하는 가상의 인터넷안전결제(ISP) 비밀번호만으로 안전한 전자상거래를 할 수 있는 서비스입니다. 단, 거래 금액이 30만원 이상일 때에는 공인 인증 과정이 필요합니다. 카드사별로 인터넷안전결제(ISP) 지원 여부가 상이하므로 자세한 내용은 사용하는 카드사로 문의해 주시기 바랍니다."
544,안심클릭,안심클릭 서비스란 무엇인가요?,인터넷 쇼핑 시 고객님의 카드에 미리 설정한 전자상거래용 별도 비밀번호를 입력하여 카드 사용자 본인을 확인함으로써 온라인상에서 카드의 무단 도용을 방지하는 서비스입니다. 카드사별로 이용 방법이 상이하므로 자세한 내용은 사용하는 카드사로 문의해 주시기 바랍니다.
545,장바구니,장바구니에 담은 상품을 삭제할 수 있나요?,"네, 장바구니에 담긴 상품명 옆의 ‘X(삭제)’ 버튼을 선택하여 삭제할 수 있습니다."
546,결제수단,문화상품권으로 결제할 수 있나요?,아니요. 문화상품권을 이용한 결제 서비스는 지원하지 않습니다.
547,무통장 입금,입금대기중 상태란 무엇인가요?,무통장입금을 선택하여 주문 후 아직 입금하지 않은 상태를 의미합니다. 주문 시 발급받은 일회성 가상계좌로 주문 금액을 입금해야 상태가 결제완료로 변경되고 상품 배송이 시작됩니다. 입금 기한 내 입금하지 않으면 주문은 자동으로 취소됩니다.
548,여행 취소,"여행/문화/숙박 상품 취소 시, 취소수수료 부과 및 결제는 어떻게 하나요?","여행/문화/숙박 상품 취소 시 발생하는 취소수수료(공제금)는 각 상품마다 다르므로 상품 상세페이지에서 확인해 주세요. 만약, 취소수수료를 결제 금액에서 공제할 수 없는 경우 계좌 입금이 필요할 수 있습니다. 자세한 취소수수료 및 결제 방법은 판매자에게 직접 문의해 주시기 바랍니다. 판매자 정보 및 연락처는 각 상품 상세페이지 내 [판매자 정보] 메뉴에서 확인할 수 있습니다."
549,배송비,"대형상품(가전, 가구 등)의 배송비는 얼마인가요?","대형 상품(가전, 가구 등)의 경우 일반 택배가 아닌 판매자 또는 대리점을 통해 직배송 차량으로 배송됩니다. 따라서, 배송비는 상품별(크기, 중량 등), 지역별로 다르게 책정되고 있습니다. 대형상품의 정확한 배송비는 상품 페이지 내 배송비를 확인해 주시기 바랍니다."
550,배송비,"부재중으로 상품이 반송된 경우, 배송비는 누가 부담하나요?",고객 부재로 반송되거나 연락처를 잘못 기재하여 반송된 경우 상품의 배송비는 고객님께서 부담하셔야 합니다.
551,휴대폰결제,휴대폰 결제 시 한도 초과로 결제가 안된다고 합니다.,이는 통신사에 정한 휴대폰 소액결제의 월 누적 결제 한도가 초과된 경우입니다. 휴대폰 소액결제 이용 한도는 이용하시는 통신사로 직접 문의해 주시기 바랍니다.
552,결제수단,폰뱅킹으로 입금할 수 있나요?,"네, 무통장입금을 결제수단으로 선택하면 폰뱅킹으로 결제(입금)가 가능합니다.
 유의사항
• 폰뱅킹을 이용하기 위해서는 해당 은행 폰뱅킹 서비스에 등록되어 있어야 합니다. 
• 폰뱅킹 입금 후 약 10~20분 뒤 입금 확인이 가능합니다.
• 입금 기한 내에 입금하지 않으면 주문은 자동으로 취소됩니다."
553,결제수단,결제방법에 실시간 계좌이체가 확인되지 않아요.,쿠팡에서 제공한 실시간 계좌이체 서비스는 2017년 1월 13일부로 종료되었습니다. [마이쿠팡 → 결제수단]에서 계좌를 결제수단으로 등록하면 더 편리하게 이용할 수 있습니다.
554,주문,전화로도 주문할 수 있나요?,아니요. 쿠팡은 전자상거래 업체로 PC 웹사이트와 모바일 앱으로 주문할 수 있습니다.
555,비회원 주문,가입하지 않고 주문할 수 있나요?,아니요. 쿠팡은 회원 가입을 해야만 주문이 가능합니다. 회원으로 가입하면 상품 구매가 가능하고 다양한 할인 이벤트와 할인 쿠폰 등을 경험할 수 있습니다.
556,상품문의,상품문의 후 답변은 어디서 확인할 수 있나요?,"상품문의에 대한 답변은 아래의 경로에서 확인할 수 있습니다. 
 문의내역 확인하기
• 모바일 앱 : 마이쿠팡 → 고객센터 → 문의내역
• PC : 마이쿠팡 → MY 활동 → 문의내역 확인"
557,상품후기,상품후기(상품평)는 누구나 작성이 가능한가요?,"상품후기(상품평)는 해당 상품을 실제로 구매한 고객님만 작성할 수 있으며, 일부 상품은 상품후기(상품평) 기능이 제공되지 않습니다."
558,착불 배송,착불 배송이란 무엇인가요?,"착불 배송이란 상품의 배송비를 고객님이 직접 택배기사에게 바로 지불하는 방법을 말합니다.
착불 배송 상품을 구매하신 경우에는 상품 수령 시, 택배기사에게 택배비를 지불하셔야 합니다."
559,배송비,무료배송은 어떻게 받나요?,"무료배송은 와우 멤버십 가입 여부, 무료배송 이벤트 기간, 각 상품의 구매 금액 기준 등에 따라 다양하며, 그 조건을 충족할 때 무료배송이 가능합니다. 따라서, 고객님 계정으로 로그인 후 구입하려는 상품의 상세페이지에서 무료배송의 조건을 확인해 주시기 바랍니다."
560,티켓 취소,유효기간 안에 사용하지 못한 경우 환불 받을 수 있나요?,"각 티켓 상품마다 환불 조건이 다르니 구매한 상품의 상세페이지에서 환불 조건을 확인해 주세요.
 [미사용 티켓 환불제 적용 상품]의 경우 
사용기간 내 사용하지 못한 티켓은 사용기간 종료 3일 후(평일 기준) 구매금액의 100%를 쿠팡캐시로 적립해 드립니다. [미사용 티켓 환불제 적용 상품] 여부는 상품 상세페이지에서 확인해 주세요. 
 [미사용 티켓 환불제 적용 상품]이 아닌 경우 
상품 상세페이지 사용조건 또는 상품 필수 표기정보에서 자세한 환불 조건을 확인해 주시기 바랍니다."
561,무통장 입금,무통장입금으로 주문할 수 없는 상품도 있나요?,"네, 구매 당일 사용하는 티켓 상품, 기프트카드, 선물하기 상품 등 일부 상품은 무통장입금(가상계좌)으로 결제가 불가합니다. 결제 단계에서 무통장입금 옵션이 노출되지 않는다면 무통장입금으로 주문이 불가한 상품입니다. 이 경우, 다른 결제수단을 이용하여 주문해 주시기 바랍니다."
562,무통장 입금,여러 개의 상품을 구매 후 무통장입금 계좌로 한꺼번에 입금해도 되나요?,"아니요. 여러 개의 상품을 각각 주문하여 여러 개의 주문번호가 생성되었다면, 각 주문에 생성된 가상계좌로 무통장 입금을 해야 합니다. 주문별 가상계좌는 [마이쿠팡 → 주문목록 → 주문 상세보기]에서 [입금계좌]를 확인할 수 있습니다.
 하나의 가상계좌로 한꺼번에 입금을 원하시면 구매하려는 상품을 장바구니에 모두 담아 한 번에 주문해 주시기 바랍니다."
563,무통장 입금,무통장입금할 때 거래불가라고 입금할 수가 없습니다.,"무통장입금 시 거래불가로 입금할 수 없다면, 아래 항목을 확인하여 주시기 바랍니다.

 1. 쿠팡의 가상계좌는 일회성입니다.
입금을 시도하려는 주문의 가상계좌와 동일한지 확인해 주시기 바랍니다.
 2. 주문금액과 입금금액이 동일해야 합니다.
1개의 가상계좌로 여러 개의 주문금액을 입금하실 수 없으며, 구매금액과 정확히 일치해야 입금이 가능합니다.
 3. 가상계좌의 입금기한은 주문완료 후 24시간 이내입니다.
입금기한이 경과되었는지 확인 바랍니다.
단, 주문한 상품 중 판매종료 시간이 24시간 이내일 경우, 입금기한은 해당 상품의 판매종료 시간입니다.
 4. ATM기기에서는 100원 단위 입금이 불가능합니다.
은행 창구 또는 통장 및 카드를 이용하여 가상계좌로 계좌이체를 해야 합니다.
 5. 은행별로 가상계좌로 입금이 불가능한 경우가 있습니다.
은행 창구 혹은 계좌이체를 이용해 주시기 바랍니다."
564,무통장 입금,"무통장입금 시, 일회성 계좌가 아닌 전용(고정)계좌를 발급받을 수는 없나요?","고객님의 소중한 금융정보 보호를 위해 전용(고정)계좌가 아닌 일회성 가상계좌를 사용하고 있습니다.
무통장입금으로 주문하시면 주문번호 별로 일회성 가상계좌가 발급되며, 해당 주문 건에만 사용 가능하므로 
전용(고정)계좌에 비해 해킹이나 정보유출의 위험성이 더 적어 안전합니다."
